incident_id,year,month,state,location,lat,lon,species,activity,outcome,time
1192,2021,11.0,WA,"fremantle, port beach",-32.0569,115.7439,White shark,Swimming,Fatal,
1193,2021,12.0,VIC,"geelong, ocean grove beach",-38.2676,144.5067,Other,Swimming,Injured,
1194,2021,12.0,VIC,"geelong, ocean grove beach",-38.2676,144.5067,Other,Boarding,Injured,
1195,2021,12.0,QLD,"yarrabah, rocky island, far north queensland",-16.9062,145.8662,Bull shark,Spearfishing,Injured,
1196,2022,1.0,NSW,"jervis bay, hyams beach",-35.1057,150.6951,Other,Swimming,Injured,620
1197,2022,1.0,NSW,"batemans bay, depot beach",-35.6288,150.323,Other,,Injured,
1198,2022,1.0,WA,"albany, whalers beach",-35.0903,117.9425,Other,Snorkelling,Injured,
1199,2022,1.0,NSW,"sydney, turimetta",-33.6988,151.3102,Other,Swimming,Injured,
1200,2022,2.0,WA,"esperance, wylie bay",-33.8346,121.9851,White shark,Other: Floating,Injured,1155
1201,2022,2.0,NSW,"sydney, little bay",-33.9781,151.2562,White shark,Swimming,Fatal,1700
1202,2022,2.0,QLD,"redcliffe, brisbane",-27.2333,153.2667,Tiger shark,Other: Floating,Injured,
1203,2022,2.0,NSW,"sydney, manly, shelly beach",-33.8006,151.2975,Other,Scuba Diving,Injured,
1204,2022,3.0,WA,"mandurah, florida beach",-32.6228,115.6239,White shark,Swimming,Uninjured,1337
1205,2022,3.0,NSW,"sydney, maroubra beach",-33.9516,151.2603,Other,Surfing,Uninjured,736
1206,2022,3.0,NSW,crowdy head beach,-31.8402,152.7449,Other,Wading,Injured,1720
1207,2022,4.0,TAS,"coles bay, the quarry",-42.1451,148.2805,Other,Spearfishing,Injured,
1208,2022,4.0,WA,chatham island,-35.0262,116.497637,White shark,Spearfishing,Uninjured,
1209,2022,5.0,WA,"perth, swan river, matilda bay",-31.97889,115.8247,Bull shark,Other: Hull Scraping,Uninjured,1145
1210,2022,5.0,WA,"yallingup, mainbreak",-33.63644,115.023785,Other,Surfing,Uninjured,730
1211,2022,6.0,WA,"exmouth, oyster stacks",-22.13101,113.87703,Other,Snorkelling,Injured,1215
1212,2022,8.0,WA,"albany, mistaken island",-35.05607,117.92543,White shark,Spearfishing,Injured,1450
